drug_name,condition
ABATACEPT,diffuse scleroderma
ABATACEPT,rheumatoid arthritis
ABCIXIMAB,myocardial infarction
ABIRATERONE ACETATE,prostate carcinoma
ACARBOSE,diabetes mellitus
ACARBOSE,metabolic syndrome
ACARBOSE,non-alcoholic fatty liver disease
ACETAMINOPHEN,Fever
ACETAMINOPHEN,"osteoarthritis, knee"
ACETAMINOPHEN,pain
ACETAZOLAMIDE,kidney disease
ACITRETIN,psoriasis
ACLIDINIUM BROMIDE,chronic obstructive pulmonary disease
ADALIMUMAB,ankylosing spondylitis
ADALIMUMAB,psoriasis
ADALIMUMAB,rheumatoid arthritis
ADALIMUMAB,ulcerative colitis
ADAPALENE,acne
AFATINIB DIMALEATE,non-small cell lung carcinoma
AFLIBERCEPT,age-related macular degeneration
AFLIBERCEPT,retinopathy
ALBUTEROL,chronic obstructive pulmonary disease
ALBUTEROL SULFATE,chronic obstructive pulmonary disease
ALCAFTADINE,eye allergy
ALEFACEPT,psoriasis
ALIROCUMAB,Disorder of lipid metabolism
ALIROCUMAB,Hypercholesterolemia
ALISKIREN FUMARATE,hypertension
ALLOPURINOL,gout
ALLOPURINOL,leukemia
ALLOPURINOL,lymphoma
ALPRAZOLAM,panic disorder
ALTEPLASE,abscess
ALTEPLASE,pulmonary embolism
ALTEPLASE,stroke
AMBRISENTAN,pulmonary arterial hypertension
AMILORIDE HYDROCHLORIDE,hypertension
AMLODIPINE BESYLATE,hypertension
AMPHETAMINE SULFATE,attention deficit hyperactivity disorder
AMPHETAMINE,cocaine dependence
ANAGRELIDE HYDROCHLORIDE,essential thrombocythemia
ANAKINRA,diabetes mellitus
ANASTROZOLE,breast carcinoma
ANASTROZOLE,pulmonary arterial hypertension
APIXABAN,atrial fibrillation
APREMILAST,atopic eczema
APREPITANT,multiple myeloma
APREPITANT,non-small cell lung carcinoma
APREPITANT,post operative nausea and vomiting
ARFORMOTEROL TARTRATE,chronic obstructive pulmonary disease
ARIPIPRAZOLE,attention deficit hyperactivity disorder
ARIPIPRAZOLE,autism
ARIPIPRAZOLE,unipolar depression
ARMODAFINIL,hypersomnia
ARMODAFINIL,insomnia
ARSENIC TRIOXIDE,leukemia
